,학년,과목구분,과목코드,과목명,undefined,학점,undefined,학점부여,undefined,undefined,undefined,undefined,undefined,undefined,,,,,,,
,,,,,,,,,,,,,,,undefined,undefined,undefined,undefined,,,
1,3학년,전공필수,5111016,객체지향 설계,01,3,일반,Grade,,홍장의,"화02 ,03 [S4-1-103(21-103)]  금07 ,08 [S4-1-104(21-104)]",출력,,,3,3.0,1,0.5,71,40,49
2,3학년,전공필수,5111016,객체지향 설계,02,3,일반,Grade,,이종연,"화02 ,03 [S4-1-102(21-102)]  목01 ,02 [S4-1-205(21-205)]",출력,,,3,3.0,1,0.5,20,40,47
3,2학년,전공선택,5111007,객체지향 프로그래밍,01,3,일반,Grade,,최경주,"월02 ,03 [S4-1-205(21-205)]  수02 ,03 [S4-1-102(21-102)]",출력,,,2,2.0,2,1.0,58,40,49
4,2학년,전공선택,5111007,객체지향 프로그래밍,02,3,일반,Grade,,조오현,"월02 ,03 [S4-1-206(21-206)]  수02 ,03 [S4-1-103(21-103)]",출력,,,2,2.0,2,1.0,43,40,62
5,4학년,전공선택,5111078,기계학습,01,3,일반,Grade,,이건명,"월01  화02 ,03 [S4-1-104(21-104)]",출력,,,3,3.0,0,0.0,70,,59
6,2학년,전공선택,5111083,미래설계구현,01,1,일반,Grade,,조희승,"수08 ,09 [E8-7-435(50-435)]",출력,,,0,0.0,2,1.0,84,100,95
7,1학년,전공선택,5111081,미래설계탐색,01,1,일반,Grade,,홍장의,"수08 ,09 [S4-1-106(21-106)]",출력,,,0,0.0,2,1.0,9,80,97
8,4학년,전공선택,5111073,빅데이터시스템설계,01,3,일반,Grade,Y,나스리디노프 아지즈,"수06 ,07 [S4-1-102(21-102)]  금02 ,03 [S4-1-206(21-206)]",출력,,,2,2.0,2,1.0,42,40,31
9,2학년,전공선택,5111008,선형대수학,01,3,일반,Grade,,노서영,"화05  금02 ,03 [S4-1-102(21-102)]",출력,,,3,3.0,0,0.0,67,50,70
10,2학년,전공선택,5111008,선형대수학,02,3,일반,Grade,,조승범,"화05 ,06  금06 [S4-1-103(21-103)]",출력,,,3,3.0,0,0.0,53,50,54
11,4학년,전공선택,5111032,영상처리,01,3,일반,Grade,,최경주,"수05 [S4-1-205(21-205)]  목01 ,02 [S4-1-102(21-102)]",출력,,,3,3.0,0,0.0,59,40,49
12,3학년,전공선택,5111087,오픈소스 웹소프트웨어,01,3,일반,Grade,,류관희,"월06 ,07 [S4-1-103(21-103)]  화06 ,07 [S4-1-205(21-205)]",출력,,,2,2.0,2,1.0,30,40,43
